transaction_id,customer_id,transaction_date,transaction_time,amount,merchant_category,transaction_type,device_type,card_present,home_city,transaction_city,distance_from_home_km,account_age_days,prev_txn_count_24h,is_fraud
500795,143129,2026-03-06,11:28:00,3212.74,Grocery,ONLINE,USSD,No,Ahmedabad,Ahmedabad,14.4,1860,3,0
503380,139509,2026-01-07,08:04:00,3122.17,Travel,ONLINE,ATM Machine,Yes,Ahmedabad,Ahmedabad,12.9,150,2,0
503165,112819,2026-08-07,00:12:00,93939.86,Dining,POS,USSD,No,Jaipur,Rajpura,1744.7,22,4,1
504658,157363,2026-06-25,19:17:00,661.03,ATM Withdrawal,UPI,ATM Machine,No,Kolkata,Kolkata,1.2,2111,2,0
503312,140204,2026-01-11,18:31:00,5588.57,Electronics,ATM,Web Browser,No,Rajpura,Rajpura,9.9,3677,0,0
503935,118341,2026-03-02,13:44:00,5060.72,Dining,UPI,USSD,No,Mumbai,Mumbai,5.7,2227,0,0
501075,146672,2026-08-03,22:06:00,3167.09,Electronics,POS,ATM Machine,Yes,Ahmedabad,Ahmedabad,6.6,1769,0,0
504841,176299,2026-04-16,05:06:00,1425.43,Travel,POS,Mobile App,Yes,Jaipur,Jaipur,14.5,2776,1,0
504184,185261,2026-05-11,01:04:00,2816.69,ATM Withdrawal,ONLINE,Mobile App,Yes,Ahmedabad,Ahmedabad,1.0,335,2,0
502025,107285,2026-07-04,14:54:00,1792.95,E-commerce,ATM,Web Browser,Yes,Delhi,Delhi,11.5,1583,1,0
505678,137170,2026-06-13,04:13:00,1669.15,Grocery,UPI,ATM Machine,No,Kolkata,Kolkata,11.9,1165,2,0
504635,110119,2026-07-18,02:28:00,2825.34,Pharmacy,POS,ATM Machine,Yes,Mumbai,Mumbai,14.1,2486,0,0
501746,197921,2026-05-31,10:39:00,3987.15,Utility Bill,ATM,POS Terminal,No,Delhi,Delhi,7.2,316,0,0
503144,156816,2026-07-08,22:59:00,3899.02,E-commerce,ONLINE,ATM Machine,No,Rajpura,Rajpura,7.6,1055,0,0
503264,186180,2026-02-28,16:32:00,5763.47,Utility Bill,ONLINE,Mobile App,Yes,Kolkata,Kolkata,5.7,559,3,0
503122,199881,2026-06-16,21:03:00,9190.41,Grocery,UPI,ATM Machine,Yes,Jaipur,Jaipur,4.7,1553,2,0
501452,104107,2026-05-25,09:17:00,4944.41,Pharmacy,ATM,Web Browser,Yes,Ahmedabad,Ahmedabad,7.2,219,2,0
500440,139757,2026-04-06,10:54:00,7490.92,Utility Bill,ONLINE,POS Terminal,No,Chennai,Chennai,3.7,3847,1,0
503317,163202,2026-08-28,04:55:00,1027.15,Electronics,NEFT,ATM Machine,No,Jaipur,Jaipur,3.0,1653,0,0
504544,161243,2026-06-15,03:20:00,2144.2,Electronics,POS,POS Terminal,Yes,Rajpura,Rajpura,2.6,921,0,0
502982,106033,2026-03-17,02:46:00,55774.54,Utility Bill,POS,USSD,No,Pune,Chennai,1027.6,49,3,1
502081,182722,2026-01-01,02:20:00,2816.09,Pharmacy,ONLINE,POS Terminal,Yes,Rajpura,Rajpura,4.9,294,1,0
504021,113269,2026-08-12,07:42:00,3664.56,E-commerce,ATM,ATM Machine,No,Bengaluru,Bengaluru,11.8,2842,2,0
501455,157213,2026-03-04,06:26:00,2275.36,Pharmacy,UPI,POS Terminal,Yes,Hyderabad,Hyderabad,4.0,1716,4,0
500255,166059,2026-08-17,23:58:00,2706.85,E-commerce,ATM,USSD,Yes,Bengaluru,Bengaluru,10.4,2108,0,0
500466,196622,2026-04-12,19:22:00,749.24,Travel,ONLINE,Mobile App,Yes,Pune,Pune,8.8,48,0,0
502118,154207,2026-02-09,14:08:00,1507.13,Fuel,NEFT,ATM Machine,Yes,Chennai,Chennai,0.7,3942,1,0
500507,153101,2026-07-11,07:50:00,1183.49,Utility Bill,ATM,ATM Machine,Yes,Jaipur,Jaipur,11.5,918,3,0
504272,153181,2026-03-20,10:57:00,6185.42,Travel,ONLINE,Web Browser,Yes,Pune,Pune,8.0,3362,1,0
504289,176433,2026-05-09,18:57:00,3871.46,Fuel,UPI,USSD,Yes,Bengaluru,Bengaluru,11.3,3519,1,0
504214,171357,2026-08-10,06:15:00,2600.55,Fuel,ONLINE,Web Browser,No,Delhi,Delhi,7.7,1097,0,0
500234,175851,2026-06-12,09:03:00,3148.01,Pharmacy,POS,USSD,No,Delhi,Delhi,5.1,2453,1,0
500554,131798,2026-02-14,05:04:00,4172.39,Jewellery,NEFT,Web Browser,No,Kolkata,Kolkata,2.1,927,0,0
505315,140911,2026-04-27,15:40:00,780.83,E-commerce,POS,USSD,Yes,Ahmedabad,Ahmedabad,9.0,1312,2,0
500545,183098,2026-07-07,14:52:00,2955.05,Travel,POS,USSD,No,Delhi,Delhi,8.8,3667,3,0
503701,115303,2026-04-12,06:53:00,3561.2,Jewellery,POS,Mobile App,Yes,Mumbai,Mumbai,9.0,1524,1,0
503541,173488,2026-03-28,10:46:00,2903.63,Electronics,POS,Web Browser,No,Mumbai,Mumbai,6.2,1936,2,0
502789,100473,2026-06-29,21:05:00,2911.19,Jewellery,POS,POS Terminal,Yes,Mumbai,Mumbai,4.3,1985,0,0
502865,108676,2026-07-18,17:36:00,1636.75,Dining,POS,ATM Machine,No,Rajpura,Rajpura,9.5,2531,1,0
502084,166748,2026-03-12,04:26:00,1395.01,Grocery,ONLINE,ATM Machine,No,Ahmedabad,Ahmedabad,6.3,3481,3,0
505543,129953,2026-04-11,06:56:00,3857.5,Dining,ONLINE,USSD,Yes,Delhi,Delhi,13.0,3010,1,0
500309,131568,2026-06-09,20:11:00,2589.66,Jewellery,ONLINE,Mobile App,No,Chennai,Chennai,3.9,1288,1,0
500711,167926,2026-01-21,21:43:00,971.34,Pharmacy,NEFT,USSD,No,Bengaluru,Bengaluru,7.7,3553,0,0
504104,101623,2026-08-14,18:00:00,4466.45,Travel,ONLINE,Web Browser,Yes,Kolkata,Kolkata,9.8,3270,2,0
501581,129643,2026-06-24,08:32:00,3096.13,Grocery,UPI,ATM Machine,Yes,Mumbai,Mumbai,8.7,1575,2,0
501311,152418,2026-05-21,22:46:00,1432.97,Electronics,ATM,ATM Machine,Yes,Rajpura,Rajpura,11.0,3471,0,0
500626,123256,2026-01-06,22:55:00,1504.74,Travel,ATM,USSD,Yes,Pune,Pune,5.5,3120,2,0
500024,192675,2026-06-10,16:52:00,3370.67,Jewellery,NEFT,POS Terminal,Yes,Rajpura,Rajpura,10.4,891,3,0
502532,180618,2026-04-10,01:18:00,2400.22,Travel,ATM,USSD,No,Pune,Pune,9.9,1118,1,0
501871,104316,2026-04-03,01:27:00,1923.1,Dining,ONLINE,ATM Machine,No,Mumbai,Mumbai,5.6,761,4,0
505111,154880,2026-03-05,19:25:00,2807.01,Fuel,ATM,USSD,Yes,Bengaluru,Bengaluru,10.1,2519,1,0
503489,144255,2026-03-25,05:21:00,1414.18,Electronics,POS,Mobile App,No,Pune,Pune,9.9,2117,1,0
501171,162897,2026-04-17,17:13:00,4070.14,Utility Bill,UPI,ATM Machine,No,Rajpura,Rajpura,1.1,676,3,0
504746,130547,2026-04-14,04:49:00,4547.64,Utility Bill,ATM,USSD,No,Mumbai,Mumbai,4.2,3898,2,0
502119,154596,2026-02-04,07:47:00,8027.39,Utility Bill,UPI,ATM Machine,Yes,Kolkata,Kolkata,9.7,1239,3,0
503019,159796,2026-08-27,00:41:00,3121.3,ATM Withdrawal,POS,Web Browser,Yes,Delhi,Delhi,3.7,1341,2,0
501195,152582,2026-04-09,21:54:00,2172.26,Jewellery,POS,ATM Machine,Yes,Ahmedabad,Ahmedabad,11.8,3495,2,0
502246,183252,2026-03-05,22:22:00,5537.44,Dining,ATM,ATM Machine,No,Rajpura,Rajpura,7.8,2754,1,0
502874,121870,2026-02-03,02:21:00,2689.08,Utility Bill,ONLINE,USSD,No,Rajpura,Rajpura,7.5,2169,1,0
505640,192330,2026-05-02,21:37:00,5000.03,Jewellery,POS,POS Terminal,Yes,Kolkata,Kolkata,14.7,515,1,0
502550,112805,2026-06-22,17:32:00,5326.53,Dining,UPI,USSD,Yes,Bengaluru,Bengaluru,7.0,1292,3,0
503155,106869,2026-07-11,15:55:00,8297.89,Electronics,POS,Web Browser,No,Jaipur,Jaipur,13.9,2850,1,0
500094,138747,2026-06-05,09:55:00,3189.74,ATM Withdrawal,POS,Mobile App,Yes,Kolkata,Kolkata,3.3,3343,3,0
502078,144004,2026-02-09,03:14:00,82237.35,ATM Withdrawal,ONLINE,USSD,No,Chennai,Hyderabad,533.8,37,2,1
500470,193301,2026-04-24,08:41:00,3575.04,Electronics,UPI,ATM Machine,Yes,Delhi,Delhi,2.5,970,2,0
500788,168608,2026-04-26,03:14:00,2118.84,Pharmacy,ATM,Web Browser,No,Mumbai,Mumbai,2.5,1154,5,0
501700,196154,2026-05-10,22:57:00,2669.19,Electronics,POS,Web Browser,Yes,Bengaluru,Bengaluru,14.1,150,1,0
501838,130446,2026-01-28,06:42:00,1171.79,Travel,UPI,Mobile App,Yes,Hyderabad,Hyderabad,13.3,3626,1,0
503064,112727,2026-04-23,02:41:00,2705.58,Fuel,UPI,Web Browser,No,Chennai,Chennai,11.1,1909,2,0
501707,198352,2026-05-19,11:10:00,6277.13,Jewellery,POS,POS Terminal,Yes,Rajpura,Rajpura,14.1,3289,2,0
503968,124169,2026-05-16,23:29:00,3240.92,Fuel,POS,USSD,Yes,Delhi,Delhi,8.5,3134,1,0
503863,124766,2026-06-29,01:24:00,2599.4,E-commerce,UPI,POS Terminal,Yes,Rajpura,Rajpura,6.1,3548,2,0
503665,151311,2026-07-29,08:24:00,1035.86,Pharmacy,ATM,ATM Machine,Yes,Mumbai,Mumbai,8.9,3375,2,0
505892,141827,2026-04-17,16:52:00,5221.29,Utility Bill,UPI,POS Terminal,Yes,Bengaluru,Bengaluru,2.7,3610,0,0
503205,129941,2026-07-15,00:50:00,1090.09,Pharmacy,UPI,USSD,Yes,Hyderabad,Hyderabad,3.3,3265,1,0
500605,182604,2026-05-11,20:31:00,1528.34,Dining,ONLINE,POS Terminal,Yes,Kolkata,Kolkata,0.7,3970,4,0
504943,183729,2026-05-26,05:31:00,2119.22,E-commerce,POS,USSD,No,Hyderabad,Hyderabad,8.8,2470,0,0
501551,128066,2026-03-12,12:16:00,2525.07,Dining,POS,USSD,No,Chennai,Chennai,5.8,3058,1,0
504709,176791,2026-03-10,12:38:00,4602.75,Fuel,ATM,Mobile App,No,Ahmedabad,Ahmedabad,12.5,876,0,0
504835,197670,2026-06-09,01:23:00,94729.3,Fuel,UPI,Web Browser,No,Delhi,Kolkata,736.8,43,3,1
503186,194928,2026-07-03,19:44:00,1202.36,Travel,UPI,Mobile App,No,Ahmedabad,Ahmedabad,1.6,1485,0,0
504387,126022,2026-03-28,15:48:00,5813.52,Travel,ATM,ATM Machine,No,Delhi,Delhi,13.5,3379,0,0
501587,182326,2026-01-06,15:00:00,5729.81,Dining,POS,Mobile App,Yes,Rajpura,Rajpura,13.4,2465,2,0
503120,186716,2026-03-22,21:48:00,6606.09,Dining,POS,ATM Machine,No,Ahmedabad,Ahmedabad,5.4,249,2,0
503400,172182,2026-04-16,13:32:00,5572.28,Jewellery,ATM,ATM Machine,No,Ahmedabad,Ahmedabad,11.1,1064,3,0
500402,177739,2026-08-05,12:46:00,5090.24,ATM Withdrawal,UPI,Web Browser,No,Ahmedabad,Ahmedabad,4.2,791,0,0
500032,122723,2026-04-24,01:31:00,1047.88,Electronics,ATM,Mobile App,No,Ahmedabad,Ahmedabad,0.8,341,1,0
501484,111206,2026-04-15,08:28:00,6230.5,Jewellery,POS,POS Terminal,Yes,Delhi,Delhi,1.7,2017,2,0
502681,111728,2026-07-19,03:28:00,1189.54,Electronics,POS,USSD,Yes,Rajpura,Rajpura,8.1,450,3,0
500600,164247,2026-04-30,23:44:00,5418.71,Jewellery,UPI,USSD,No,Mumbai,Mumbai,6.4,1906,1,0
503150,110865,2026-03-07,00:13:00,991.04,Jewellery,ONLINE,Web Browser,No,Rajpura,Rajpura,6.6,3789,2,0
505545,121882,2026-02-09,13:46:00,2801.05,Fuel,UPI,ATM Machine,Yes,Rajpura,Rajpura,2.9,2680,0,0
501861,173980,2026-02-03,16:27:00,3684.03,Electronics,UPI,USSD,No,Hyderabad,Hyderabad,9.9,1749,1,0
500566,123674,2026-04-12,09:13:00,2611.14,Jewellery,POS,Mobile App,No,Bengaluru,Bengaluru,5.3,1010,4,0
502214,111570,2026-08-20,15:24:00,3787.02,Jewellery,ONLINE,POS Terminal,No,Ahmedabad,Ahmedabad,4.6,3587,0,0
501967,137087,2026-08-27,09:03:00,683.89,ATM Withdrawal,UPI,Web Browser,No,Bengaluru,Bengaluru,3.1,263,2,0
500866,169811,2026-07-15,02:15:00,2799.45,Dining,POS,POS Terminal,Yes,Jaipur,Jaipur,10.2,3965,2,0
504608,148604,2026-04-19,03:35:00,90753.63,Pharmacy,UPI,Web Browser,No,Chennai,Hyderabad,1197.1,17,5,1
502451,183982,2026-03-19,16:46:00,4134.44,ATM Withdrawal,ATM,USSD,No,Pune,Pune,13.8,841,3,0
505693,188596,2026-06-25,16:24:00,2205.57,Jewellery,ONLINE,Web Browser,Yes,Ahmedabad,Ahmedabad,0.5,1735,3,0
500813,168448,2026-06-28,02:42:00,62170.51,ATM Withdrawal,POS,Web Browser,No,Kolkata,Rajpura,1791.7,45,9,1
501478,139412,2026-06-30,19:48:00,6390.54,Fuel,ONLINE,POS Terminal,No,Ahmedabad,Ahmedabad,11.4,3714,2,0
504735,182746,2026-02-17,07:51:00,4843.66,Electronics,ONLINE,Mobile App,No,Chennai,Chennai,0.1,3682,0,0
502272,131832,2026-08-13,16:37:00,5853.02,Travel,UPI,POS Terminal,No,Mumbai,Mumbai,9.8,601,3,0
501039,143666,2026-01-02,08:46:00,2536.15,Grocery,UPI,Mobile App,No,Rajpura,Rajpura,7.3,1623,0,0
504527,101885,2026-04-16,10:33:00,1036.15,Pharmacy,ONLINE,Mobile App,No,Rajpura,Rajpura,1.0,2215,0,0
500081,194029,2026-01-08,09:59:00,5858.61,Travel,UPI,POS Terminal,Yes,Rajpura,Rajpura,7.5,3037,0,0
501205,165087,2026-05-18,23:52:00,1373.54,Dining,POS,Web Browser,No,Mumbai,Mumbai,2.0,2291,1,0
503286,146822,2026-01-04,07:50:00,810.47,Fuel,NEFT,USSD,Yes,Kolkata,Kolkata,6.2,1067,3,0
501546,159018,2026-07-30,11:18:00,6415.04,ATM Withdrawal,UPI,POS Terminal,Yes,Hyderabad,Hyderabad,4.5,769,3,0
500178,116127,2026-06-29,08:11:00,4658.77,Electronics,NEFT,ATM Machine,No,Pune,Pune,3.2,3939,0,0
502586,155439,2026-05-13,19:54:00,2117.19,E-commerce,ONLINE,USSD,Yes,Mumbai,Mumbai,7.7,3522,2,0
505993,182465,2026-02-20,02:16:00,4847.99,Utility Bill,UPI,Web Browser,No,Ahmedabad,Ahmedabad,4.5,1354,1,0
504864,171834,2026-02-18,00:31:00,2831.12,Grocery,POS,Mobile App,No,Kolkata,Kolkata,9.2,1721,0,0
501439,131894,2026-02-16,08:06:00,3404.73,E-commerce,POS,Web Browser,Yes,Pune,Pune,10.7,48,1,0
500297,184976,2026-04-28,17:55:00,5874.11,ATM Withdrawal,NEFT,USSD,No,Delhi,Delhi,10.0,3047,2,0
503616,144683,2026-04-07,08:38:00,2475.58,Utility Bill,POS,POS Terminal,Yes,Pune,Pune,4.7,1719,2,0
503648,160199,2026-01-01,06:47:00,1793.5,Travel,POS,ATM Machine,No,Ahmedabad,Ahmedabad,3.8,3080,0,0
500158,155702,2026-05-10,01:34:00,4413.96,Jewellery,UPI,Web Browser,Yes,Hyderabad,Hyderabad,1.2,2027,0,0
501028,128060,2026-06-12,18:38:00,6749.31,Electronics,UPI,ATM Machine,No,Jaipur,Jaipur,14.7,2371,1,0
500411,117427,2026-05-21,20:21:00,4285.15,Electronics,POS,ATM Machine,Yes,Rajpura,Rajpura,12.1,1232,2,0
503959,109790,2026-04-24,00:28:00,79077.47,Jewellery,ONLINE,Web Browser,No,Chennai,Rajpura,964.8,33,7,1
505938,157383,2026-06-29,21:20:00,3759.81,Travel,POS,Web Browser,Yes,Hyderabad,Hyderabad,13.0,2730,4,0
504957,116060,2026-01-09,01:26:00,788.73,Travel,UPI,Mobile App,No,Pune,Pune,3.2,854,3,0
504757,157434,2026-07-06,10:50:00,3382.49,Pharmacy,UPI,POS Terminal,No,Delhi,Delhi,14.1,1823,1,0
505448,141033,2026-04-14,18:31:00,2025.56,Dining,UPI,Web Browser,Yes,Rajpura,Rajpura,4.3,3028,1,0
502182,124022,2026-01-30,11:34:00,6062.13,Grocery,ATM,USSD,Yes,Delhi,Delhi,8.7,1899,0,0
505809,148219,2026-07-31,08:53:00,4066.7,Electronics,ONLINE,ATM Machine,No,Rajpura,Rajpura,13.3,2502,3,0
500811,104417,2026-05-16,02:52:00,6192.4,Utility Bill,UPI,ATM Machine,Yes,Rajpura,Rajpura,13.0,3857,0,0
504916,110119,2026-08-26,21:23:00,4067.73,E-commerce,ATM,POS Terminal,Yes,Hyderabad,Hyderabad,4.1,46,3,0
504954,114300,2026-07-30,19:00:00,10439.28,Travel,ONLINE,Mobile App,Yes,Bengaluru,Bengaluru,0.7,3590,2,0
503734,193292,2026-07-10,00:54:00,1217.11,ATM Withdrawal,POS,Mobile App,No,Bengaluru,Bengaluru,11.4,3429,0,0
505164,183619,2026-08-10,08:13:00,2890.2,Utility Bill,UPI,POS Terminal,No,Chennai,Chennai,6.4,3623,1,0
502978,189674,2026-06-07,03:27:00,1370.5,Travel,UPI,Web Browser,Yes,Bengaluru,Bengaluru,10.9,314,0,0
503796,127502,2026-01-19,01:13:00,6393.73,E-commerce,UPI,ATM Machine,No,Pune,Pune,5.6,1211,2,0
502169,193607,2026-05-26,22:21:00,1358.98,Utility Bill,ONLINE,USSD,Yes,Kolkata,Kolkata,12.0,96,1,0
503078,181506,2026-02-08,03:21:00,6496.46,Grocery,UPI,Web Browser,Yes,Delhi,Delhi,5.5,803,2,0
501695,116001,2026-02-14,01:48:00,2154.25,Electronics,UPI,ATM Machine,No,Hyderabad,Hyderabad,6.3,2825,0,0
501025,182187,2026-05-02,18:24:00,3655.23,Jewellery,ATM,ATM Machine,Yes,Delhi,Delhi,4.4,1583,0,0
503947,102333,2026-05-21,17:50:00,6085.2,Grocery,UPI,USSD,No,Hyderabad,Hyderabad,8.0,2616,2,0
502125,174552,2026-01-02,01:32:00,2567.63,Jewellery,UPI,Web Browser,No,Ahmedabad,Ahmedabad,5.5,2237,0,0
505295,192238,2026-08-15,03:47:00,9612.46,Electronics,UPI,ATM Machine,No,Rajpura,Rajpura,1.6,1515,5,0
502705,106890,2026-04-16,13:04:00,2169.62,Grocery,ONLINE,USSD,Yes,Hyderabad,Hyderabad,7.2,1031,3,0
501034,131389,2026-04-23,17:38:00,2289.78,Grocery,ONLINE,Mobile App,Yes,Hyderabad,Hyderabad,0.6,3869,2,0
505872,147178,2026-02-13,23:19:00,4762.06,Travel,ONLINE,USSD,No,Pune,Pune,11.3,2503,2,0
505365,127306,2026-07-26,14:30:00,2435.4,Fuel,UPI,USSD,Yes,Rajpura,Rajpura,8.2,1930,2,0
504160,103106,2026-06-25,23:27:00,194.23,Travel,POS,POS Terminal,Yes,Ahmedabad,Ahmedabad,8.2,3789,0,0
501701,126538,2026-04-02,08:36:00,1362.79,Jewellery,ONLINE,POS Terminal,Yes,Pune,Pune,6.1,687,2,0
502914,122592,2026-06-03,17:14:00,2782.4,Travel,ONLINE,ATM Machine,Yes,Delhi,Delhi,14.2,1382,3,0
504879,167153,2026-04-10,04:32:00,3428.06,Electronics,UPI,POS Terminal,Yes,Ahmedabad,Ahmedabad,0.9,3656,2,0
503321,108505,2026-02-09,18:20:00,1252.26,Grocery,ONLINE,POS Terminal,Yes,Bengaluru,Bengaluru,7.4,2148,0,0
505027,125411,2026-03-09,07:19:00,5955.91,Grocery,ATM,USSD,Yes,Ahmedabad,Ahmedabad,3.3,1980,1,0
502583,129121,2026-06-15,04:35:00,813.77,Pharmacy,ATM,ATM Machine,No,Bengaluru,Bengaluru,12.1,2712,1,0
505284,175997,2026-06-07,23:08:00,5983.34,Fuel,POS,POS Terminal,Yes,Ahmedabad,Ahmedabad,12.0,940,5,0
504251,141820,2026-01-16,00:17:00,1849.48,Grocery,ATM,Mobile App,No,Pune,Pune,0.6,2948,1,0
501187,114240,2026-07-16,07:26:00,2457.2,Jewellery,ONLINE,POS Terminal,Yes,Kolkata,Kolkata,13.0,1514,1,0
503738,152853,2026-02-17,14:43:00,9528.74,Pharmacy,POS,USSD,No,Kolkata,Kolkata,10.1,3383,3,0
